,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,178,人 9.4,29,0486,734888,"0,379779%",1,1,6,会,huì,hui,fourth,"assemble, meet together; meeting",,化
,179,人 9.4,186,0467,212485,"0,109809%",4,3,6,任,rèn,ren,fourth,"trust to, rely on, appoint; to bear, duty, office; allow",,老
,180,人 9.4,250,0466,172895,"0,089350%",2,2,6,件,jiàn,jian,fourth,numerary adjunct for article; matter,,给
,181,人 9.4,332,0455,128186,"0,066245%",4,3,6,传,chuán,chuan,second,"summon; propagate, transmit",,世
,182,人 9.4,409,0469,103634,"0,053557%",4,3,6,价,jià,jia,fourth,"price, value",,位
,183,人 9.4,450,0490,93453,"0,048295%",5,4,6,企,qǐ,qi,third,plan a project; stand on tiptoe,,次
,184,人 9.4,510,0491,80390,"0,041544%",4,3,6,众,zhòng,zhong,fourth,"multitude, crowd; masses, public",,度
,185,人 9.4,660,0468,59632,"0,030817%",4,3,6,伤,shāng,shang,first,"wound, injury; fall ill from",,门
,186,人 9.4,761,0478,47619,"0,024609%",,7–9,6,伊,yī,yi,first,"third person pronoun; he, she, this, that",,任
,187,人 9.4,774,0461,46613,"0,024089%",4,3,6,优,yōu,you,first,"superior, excellent; actor",,常
,188,人 9.4,784,0471,45408,"0,023466%",4,2,6,份,fèn,fen,fourth,"portion, part; duty",,先
,189,人 9.4,970,0470,32822,"0,016962%",6,7–9,6,伦,lún,lun,second,normal human relationships,,海
,190,人 9.4,1047,0475,28724,"0,014844%",4,4,6,伙,huǒ,huo,third,"companion, colleague; utensils",,通
,191,人 9.4,1082,0458,26539,"0,013715%",2,1,6,休,xiū,xiu,first,"rest, stop; retire; do not!",,教
,192,人 9.4,1107,0454,25591,"0,013225%",5,3,6,伟,wěi,wei,third,"great, robust; extraordinary",,儿
,193,人 9.4,1259,0474,19870,"0,010269%",5,5,6,仿,fǎng,fang,third,"imitate, copy; as if",,原
,194,人 9.4,1368,0473,16940,"0,008754%",6,6,6,仰,yǎng,yang,third,"raise the head to look; look up to, rely on, admire",,东
,195,人 9.4,1389,0460,16181,"0,008362%",6,7–9,6,伏,fú,fu,second,"crouch, crawl, lie hidden, conceal",,声
,196,人 9.4,1472,0459,14425,"0,007455%",6,6,6,伍,wǔ,wu,third,"five, company of five; troops",,提
,197,人 9.4,1556,0476,12654,"0,006539%",6,7–9,6,伪,wěi,wei,third,"false, counterfeit, bogus",,立
,198,人 9.4,1706,0465,10316,"0,005331%",,7–9,6,仲,zhòng,zhong,fourth,"middle brother; go between, mediator; surname",,及
,199,人 9.4,1810,0463,9028,"0,004666%",6,7–9,6,伐,fá,fa,second,"cut down, subjugate, attack",,比
,200,人 9.4,2202,0493,5511,"0,002848%",3,4,6,伞,sǎn,san,third,"umbrella, parasol, parachute",,员
,201,人 9.4,3332,3602,1264,"0,000653%",,,6,伎,jì,ji,fourth,"talent, skill, ability",,解
,202,人 9.4,3346,3604,1242,"0,000642%",,,6,伢,yá,ya,second,child,,水
,203,人 9.4,4074,3610,537,"0,000278%",,,6,伫,zhù,zhu,fourth,to stand for a long time; to wait,,名
,204,人 9.4,4989,3609,184,"0,000095%",,,6,伉,kàng,kang,fourth,"compare, match; pair; spouse",,真
,205,人 9.4,5659,3608,96,"0,000050%",,,6,伧,cāng,cang,first,"vulgar person, country man",,论
,206,人 9.4,6109,3603,54,"0,000028%",,,6,伛,yǔ,yu,third,humpback; stoop,,处
,207,人 9.4,6393,3606,34,"0,000018%",,,6,仵,wǔ,wu,third,similar,,走
,208,人 9.4,6416,,33,"0,000017%",,,6,氽,tǔn,tun,third,to float; to deep fry; (Cant.) to turn inside-out,,义
,209,人 9.4,7350,6537,7,"0,000004%",,,6,仳,pǐ,pi,third,"separate, part company",,各
,210,人 9.4,0,6512,,"0,000000%",,,5,伋,jí,ji,second,deceptive,,入
,211,人 9.4,0,6538,,"0,000000%",,,6,伣,xiàn,xian,fourth,like,,几
,212,人 9.4,0,6539,,"0,000000%",,,6,伈,xǐn,xin,third,"nervous, fearful",,口
,213,人 9.5,32,0782,705205,"0,364439%",1,1,7,你,nǐ,ni,third,"you, second person pronoun",,认
,214,人 9.5,49,0777,542791,"0,280506%",1,1,7,作,zuò,zuo,fourth,"make; work; compose, write; act, perform",,条
,215,人 9.5,95,0774,374459,"0,193515%",2,2,7,但,dàn,dan,fourth,"only; but, however, yet, still",,平
,216,人 9.5,149,0770,273792,"0,141492%",2,1,7,体,tǐ,ti,third,"body; group, class, body, unit; inferior",,系
,217,人 9.5,182,0784,214983,"0,111100%",3,2,7,位,wèi,wei,fourth,"throne; position, post; rank, status; seat",,气
,218,人 9.5,229,0771,184335,"0,095262%",4,3,7,何,hé,he,second,"what, why, where, which, how",,题
,219,人 9.5,309,0783,138503,"0,071576%",1,1,7,住,zhù,zhu,fourth,"reside, live at, dwell, lodge; stop",,活
,220,人 9.5,431,0481,98057,"0,050674%",5,3,6,似,shì,shi,fourth,"resemble, similar to; as if, seem",,尔
,221,人 9.5,592,0781,68424,"0,035361%",4,2,7,低,dī,di,first,"low; to lower, hang, bend, bow",,更
,222,人 9.5,729,0795,50601,"0,026150%",5,4,7,余,yú,yu,second,"I, my, me; surname; surplus",,别
,223,人 9.5,771,0789,47038,"0,024309%",5,6,7,佛,fú,fu,second,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.),,打
,224,人 9.5,821,0778,42513,"0,021970%",6,7–9,7,伯,bó,bo,second,father's elder brother; senior,,女
,225,人 9.5,1161,0775,23732,"0,012264%",5,5,7,伸,shēn,shen,first,"extend, stretch out, open up; trust",,变
,226,人 9.5,1298,0785,18678,"0,009653%",5,4,7,伴,bàn,ban,fourth,"companion, comrade, partner; accompany",,四
,227,人 9.5,1326,0769,17943,"0,009273%",4,5,7,估,gū,gu,first,"merchant; estimate, guess, presume",,神
,228,人 9.5,2081,0772,6378,"0,003296%",,7–9,7,佐,zuǒ,zuo,third,"assist, aid, second; subordinate",,总
,229,人 9.5,2532,3735,3596,"0,001858%",,,7,伽,jiā,jia,first,traditionally used as phonetic for ga,,何
,230,人 9.5,2546,0780,3517,"0,001818%",6,7–9,7,佣,yōng,yong,first,commission fee,,电
,231,人 9.5,2775,0773,2589,"0,001338%",,7–9,7,佑,yòu,you,fourth,"help, protect, bless",,数
,232,人 9.5,2782,0788,2570,"0,001328%",6,7–9,7,伺,cì,ci,fourth,"serve, wait upon, attend; examine",,安
,233,人 9.5,2906,0779,2148,"0,001110%",6,,7,伶,líng,ling,second,"lonely, solitary; actor",,少
,234,人 9.5,3180,3733,1528,"0,000790%",,,7,佟,tóng,tong,second,a name,,报
