,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,235,人 9.5,3245,0776,1401,"0,000724%",,,7,佃,diàn,dian,fourth,tenant farmer; be a tenant farmer,,才
,236,人 9.5,3805,3731,702,"0,000363%",,,7,佚,yì,yi,fourth,indulge in pleasures; flee,,结
,237,人 9.5,4454,6605,343,"0,000177%",,,7,伲,nì,ni,fourth,we (Shanghai dialect),,反
,238,人 9.5,4569,3734,299,"0,000155%",,,7,佗,tuó,tuo,second,"other, he; surname; a load",,受
,239,人 9.5,4690,3728,254,"0,000131%",,,7,佞,nìng,ning,fourth,flattery; glib,,目
,240,人 9.5,4761,3737,233,"0,000120%",,,7,佘,shé,she,second,surname,,太
,241,人 9.5,5065,3732,172,"0,000089%",,,7,佝,gōu,gou,first,rickets,,量
,242,人 9.5,5502,3605,114,"0,000059%",,,6,佤,wǎ,wa,third,"the Va (Wa) nationality, living in Yunnan",,再
,243,人 9.5,5589,3607,103,"0,000053%",,,6,伥,chāng,chang,first,ghost of one devoured by tiger,,感
,244,人 9.5,5613,3738,101,"0,000052%",,,7,佥,qiān,qian,first,"all, together, unanimous",,建
,245,人 9.5,8012,,3,"0,000002%",,,7,佧,kǎ,ka,third,ancient name for an ethnic group in China,,务
,246,人 9.5,0,6601,,"0,000000%",,,7,伾,pī,pi,first,mighty,,做
,247,人 9.5,0,6602,,"0,000000%",,,7,㑇,zhòu,zhou,fourth,(a simplified form) clever; ingenious; cute; pretty,,接
,248,人 9.5,0,6603,,"0,000000%",,,7,伭,xián,xian,second,"dark, somber; deep, profound",,必
,249,人 9.5,0,6604,,"0,000000%",,,7,佖,bì,bi,fourth,,,场
,250,人 9.5,0,6606,,"0,000000%",,,7,佁,yǐ,yi,third,,,件
,251,人 9.6,119,1139,316273,"0,163445%",4,2,8,使,shǐ,shi,third,"cause, send on a mission, order; envoy, messenger, ambassador",,计
,252,人 9.6,547,1140,74579,"0,038541%",4,2,8,例,lì,li,fourth,"precedent, example; regulation",,管
,253,人 9.6,550,1138,74168,"0,038329%",4,4,8,供,gōng,gong,first,"supply, provide for; offer in worship",,期
,254,人 9.6,568,1153,70632,"0,036502%",5,4,8,依,yī,yi,first,"rely on, be set in; consent, obey a wish",,市
,255,人 9.6,1216,1141,20999,"0,010852%",6,7–9,8,侠,xiá,xia,second,chivalrous person; knight-errant,,直
,256,人 9.6,1220,1147,20960,"0,010832%",6,6,8,侧,cè,ce,fourth,"side; incline, slant, lean",,德
,257,人 9.6,1479,1145,14329,"0,007405%",6,7–9,8,侦,zhēn,zhen,first,"spy, reconnoiter; detective",,资
,258,人 9.6,1507,1150,13784,"0,007123%",5,7–9,8,佩,pèi,pei,fourth,"belt ornament, pendant; wear at waist, tie to the belt; respect",,命
,259,人 9.6,1583,1135,12061,"0,006233%",6,6,8,佳,jiā,jia,first,"good, auspicious; beautiful; delightful",,山
,260,人 9.6,1871,1136,8320,"0,004300%",,7–9,8,侍,shì,shi,fourth,"serve, attend upon; attendant, servant; samurai",,金
,261,人 9.6,2340,1149,4633,"0,002394%",6,7–9,8,侨,qiáo,qiao,second,"sojourn, lodge",,指
,262,人 9.6,2661,1146,2994,"0,001547%",6,7–9,8,侣,lǚ,lü,third,companion; associate with,,克
,263,人 9.6,2664,1144,2987,"0,001544%",6,,8,侄,zhí,zhi,second,nephew,,许
,264,人 9.6,3081,1152,1703,"0,000880%",6,7–9,8,侈,chǐ,chi,third,"luxurious, extravagant",,统
,265,人 9.6,3236,3966,1412,"0,000730%",,,8,侬,nóng,nong,second,I; you; family name,,区
,266,人 9.6,3315,3958,1295,"0,000669%",6,7–9,8,侃,kǎn,kan,third,upright and strong; amiable,,保
,267,人 9.6,3323,3951,1283,"0,000663%",,,8,佬,lǎo,lao,third,"(Cant.) man, person; mature",,至
,268,人 9.6,3359,1142,1215,"0,000628%",6,,8,侥,jiǎo,jiao,third,"be lucky; by chance, by luck",,队
,269,人 9.6,3393,3965,1154,"0,000596%",,,8,佯,yáng,yang,second,"pretend, feign; false, deceitful",,形
,270,人 9.6,3674,3959,836,"0,000432%",,,8,侏,zhū,zhu,first,"small, little, tiny, dwarf",,社
,271,人 9.6,3993,3964,581,"0,000300%",,,8,佼,jiǎo,jiao,third,"beautiful, handsome, good-looking",,便
,272,人 9.6,4406,3957,362,"0,000187%",,,8,侗,dòng,dong,fourth,"big; ignorant; rude, rustic",,空
,273,人 9.6,5161,3961,156,"0,000081%",,,8,佻,tiāo,tiao,first,frivolous; unsteady; delay,,决
,274,人 9.6,5225,3960,147,"0,000076%",,,8,侩,kuài,kuai,fourth,"go-between, broker, proxy",,治
,275,人 9.6,5429,3963,122,"0,000063%",,,8,侪,chái,chai,second,"a company, companion; together",,展
,276,人 9.6,5437,3952,121,"0,000063%",,,8,佰,bǎi,bai,third,hundred,,马
,277,人 9.6,5486,3950,115,"0,000059%",,,8,佶,jí,ji,second,"strong, robust; exact, correct",,科
,278,人 9.6,5769,3969,83,"0,000043%",,,8,侔,móu,mou,second,equal,,司
,279,人 9.6,6199,3954,46,"0,000024%",,,8,侉,kuǎ,kua,third,to speak with an accent; big and clumsy,,五
,280,人 9.6,6265,6693,42,"0,000022%",,,8,佴,èr,er,fourth,"a second, an assistant",,基
,281,人 9.6,6320,3953,38,"0,000020%",,,8,侑,yòu,you,fourth,"help, assist, repay kindness",,眼
,282,人 9.6,6518,3962,28,"0,000014%",,,8,佾,yì,yi,fourth,a row or file of dancers,,书
,283,人 9.6,0,6695,,"0,000000%",,,8,侁,shēn,shen,first,crowd,,非
,284,人 9.6,0,6697,,"0,000000%",,,8,佸,huó,huo,second,meet,,则
,285,人 9.6,0,6698,,"0,000000%",,,8,佺,quán,quan,second,fairy,,听
,286,人 9.6,0,6700,,"0,000000%",,,8,㑊,yì,yi,fourth,a kind of disease,,白
,287,人 9.6,0,6701,,"0,000000%",,,8,侂,tuō,tuo,first,"to commission, to entrust to, to depute; to request, to ask",,却
,288,人 9.6,0,6702,,"0,000000%",,,8,佽,cì,ci,fourth,aid; help,,界
,289,人 9.6,0,6703,,"0,000000%",,,8,侘,chà,cha,fourth,"disappointed, forlorn",,达
,290,人 9.7,176,1570,230248,"0,118989%",3,2,9,信,xìn,xin,fourth,"trust, believe; letter",,光
,291,人 9.7,266,1562,164424,"0,084972%",4,3,9,保,bǎo,bao,third,"protect, safeguard, defend, care",,放
,292,人 9.7,271,1556,159479,"0,082416%",2,2,9,便,biàn,bian,fourth,"convenience, ease; expedient",,强
,293,人 9.7,975,1564,32638,"0,016867%",,7–9,9,俄,é,e,second,"sudden(ly), soon; Russian",,即
,294,人 9.7,1086,1574,26466,"0,013677%",6,6,9,侵,qīn,qin,first,"invade, encroach upon, raid",,像
,295,人 9.7,1102,1563,25792,"0,013329%",5,4,9,促,cù,cu,fourth,"urge, press, hurry; close",,难
,296,人 9.7,1354,1568,17463,"0,009025%",5,4,9,俗,sú,su,second,"social customs; vulgar, unrefined",,且
,297,人 9.7,1574,1557,12340,"0,006377%",4,4,9,俩,liǎ,lia,third,"two, pair",,权
,298,人 9.7,1756,1576,9585,"0,004953%",,,9,侯,hóu,hou,second,"marquis, lord; target in archery",,思
,299,人 9.7,1847,1578,8543,"0,004415%",5,7–9,9,俊,jùn,jun,fourth,"talented, capable; handsome",,王
,300,人 9.7,2057,1569,6594,"0,003408%",6,7–9,9,俘,fú,fu,second,prisoner of war; take as prisoner,,象
,301,人 9.7,2621,1566,3144,"0,001625%",6,7–9,9,侮,wǔ,wu,third,"insult, ridicule, disgrace",,完
,302,人 9.7,2880,1561,2229,"0,001152%",,7–9,9,俏,qiào,qiao,fourth,"like, similar; resemble; pretty",,设
,303,人 9.7,2891,1567,2193,"0,001133%",6,7–9,9,俭,jiǎn,jian,third,"temperate, frugal, economical",,式
,304,人 9.7,3251,4272,1388,"0,000717%",,,9,俞,yú,yu,second,"surname; consent, approve",,色
,305,人 9.7,3559,4257,966,"0,000499%",,,9,俨,yǎn,yan,third,"grave, respectful, majestic",,路
,306,人 9.7,3564,1565,960,"0,000496%",6,,9,俐,lì,li,fourth,"smooth; active; clever, sharp",,记
,307,人 9.7,3605,4267,910,"0,000470%",,,9,俟,qí,qi,second,"wait for, wait until, as soon as",,南
,308,人 9.7,4358,4264,387,"0,000200%",,,9,俚,lǐ,li,third,"rustic, vulgar, unpolished; mean",,品
,309,人 9.7,4381,4266,375,"0,000194%",,,9,俑,yǒng,yong,third,wooden figure buried with dead,,住
,310,人 9.7,4502,4256,323,"0,000167%",,,9,俦,chóu,chou,second,"companion, mate, colleague",,告
,311,人 9.7,4648,4259,269,"0,000139%",,,9,俪,lì,li,fourth,"spouse, couple, pair",,类
,312,人 9.7,4909,4274,200,"0,000103%",,,9,俎,zǔ,zu,third,chopping board or block; painted,,求
,313,人 9.7,4919,4263,197,"0,000102%",,,9,俣,yǔ,yu,third,big,,据
,314,人 9.7,5634,4258,99,"0,000051%",,,9,俅,qiú,qiu,second,ornamental cap,,程
,315,人 9.7,6137,6856,52,"0,000027%",,,9,俜,pīng,ping,first,to trust to; send a message,,北
,316,人 9.7,0,6696,,"0,000000%",,,8,侹,tǐng,ting,third,,,边
,317,人 9.7,0,6854,,"0,000000%",,,9,俫,lái,lai,second,to induce to come; to encourage,,死
,318,人 9.7,0,6857,,"0,000000%",,,9,俙,xī,xi,first,"to pretend, appear as if",,张
,319,人 9.7,0,6858,,"0,000000%",,,9,俍,liáng,liang,second,,,该
,320,人 9.7,0,6863,,"0,000000%",,,9,侴,chǒu,chou,third,surname,,交
,321,人 9.8,341,1964,124865,"0,064528%",1,1,10,候,hòu,hou,fourth,wait; expect; visit; greet,,规
,322,人 9.8,600,1956,67732,"0,035003%",4,3,10,值,zhí,zhi,second,price,,万
,323,人 9.8,608,1960,66634,"0,034435%",4,2,10,倒,dào,dao,fourth,fall over; lie down; take turns,,取
,324,人 9.8,740,1560,49829,"0,025751%",4,3,9,修,xiū,xiu,first,study; repair; cultivate,,拉
,325,人 9.8,984,1955,32027,"0,016551%",3,2,10,借,jiè,jie,fourth,borrow; lend; make pretext of,,格
,326,人 9.8,1223,1954,20902,"0,010802%",6,6,10,债,zhài,zhai,fourth,"debt, loan, liabilities",,望
,327,人 9.8,1260,1959,19849,"0,010258%",6,6,10,倾,qīng,qing,first,"upset, pour out, overflow",,觉
,328,人 9.8,1392,1967,16102,"0,008321%",4,4,10,倍,bèi,bei,fourth,"times, fold, multiple times",,术
,329,人 9.8,1909,1962,8024,"0,004147%",5,5,10,俱,jù,ju,fourth,"all, together; accompany",,领
,330,人 9.8,2118,1961,6072,"0,003138%",6,7–9,10,倘,tǎng,tang,third,"if, supposing, in event of",,共
,331,人 9.8,2185,1963,5622,"0,002905%",5,5,10,倡,chàng,chang,fourth,"guide, leader; lead, introduce",,确
,332,人 9.8,2261,1966,5100,"0,002636%",6,7–9,10,俯,fǔ,fu,third,"bow down, face down, look down",,传
,333,人 9.8,2329,1968,4682,"0,002420%",6,7–9,10,倦,juàn,juan,fourth,"be tired of, weary",,师
,334,人 9.8,2583,4562,3311,"0,001711%",,,10,倩,qiàn,qian,fourth,"beautiful, lovely; son-in-law",,观
,335,人 9.8,2620,1957,3149,"0,001627%",,7–9,10,倚,yǐ,yi,third,"rely on, depend on; lean heavily",,清
,336,人 9.8,2749,1958,2671,"0,001380%",,,10,俺,ǎn,an,third,"personal pronoun, I",,今
,337,人 9.8,2796,4568,2505,"0,001295%",,,10,倏,shū,shu,first,"hastily, suddenly, abruptly",,切
,338,人 9.8,3257,4571,1380,"0,000713%",,,10,倪,ní,ni,second,"feeble, tiny, young and weak",,院
,339,人 9.8,3390,4570,1160,"0,000599%",,,10,倭,wō,wo,first,"dwarf; dwarfish, short",,让
,340,人 9.8,3519,4572,1007,"0,000520%",,,10,俾,bǐ,bi,third,"so that, in order that; to cause; (Cant.) to give (synonymous with Mandarin給)",,识
,341,人 9.8,3542,1974,985,"0,000509%",6,7–9,10,倔,jué,jue,second,"stubborn, obstinate, intransigent; firm",,候
,342,人 9.8,3910,4561,622,"0,000321%",,,10,俸,fèng,feng,fourth,"wages, salary, official emolument",,带
,343,人 9.8,4255,4576,432,"0,000223%",,,10,倌,guān,guan,first,"assistant in wine shop, groom",,导
,344,人 9.8,4806,4573,221,"0,000114%",,,10,倜,tì,ti,fourth,raise high; unrestrained,,争
,345,人 9.8,4981,4565,185,"0,000096%",,,10,俳,pái,pai,second,actor; vaudeville show; insincere,,运
,346,人 9.8,5167,4581,156,"0,000081%",,,10,倨,jù,ju,fourth,"arrogant, haughty, rude",,笑
,347,人 9.8,5652,7016,97,"0,000050%",,,10,倮,luǒ,luo,third,"bare, naked, uncovered",,飞
,348,人 9.8,5678,4577,94,"0,000049%",,,10,倥,kōng,kong,first,"boorish, ignorant; urgent, pressing",,风
,349,人 9.8,5720,4567,88,"0,000045%",,,10,倬,zhuō,zhuo,first,"noticeable, large; clear, distinct",,步
,350,人 9.8,0,4563,,"0,000000%",,,10,俵,biào,biao,fourth,"divide, distribute",,改
,351,人 9.8,0,4566,,"0,000000%",,,10,俶,chù,chu,fourth,"start, begin; beginning; arrange",,收
,352,人 9.8,0,7014,,"0,000000%",,,10,倴,bèn,ben,fourth,,,根
,353,人 9.8,0,7017,,"0,000000%",,,10,倕,chuí,chui,second,,,干
,354,人 9.8,0,7018,,"0,000000%",,,10,倞,jìng,jing,fourth,far,,造
,355,人 9.8,0,7019,,"0,000000%",,,10,𫢸,dàn,dan,fourth,sincere,,言
,356,人 9.8,0,7020,,"0,000000%",,,10,倓,tán,tan,second,"quiet, peaceful",,联
,357,人 9.8,0,7021,,"0,000000%",,,10,倧,zōng,zong,first,,,持
,358,人 9.9,246,2324,175580,"0,090737%",1,1,11,做,zuò,zuo,fourth,"work, make; act",,组
,359,人 9.9,636,2337,62691,"0,032398%",3,1,11,假,jiǎ,jia,third,"falsehood, deception; vacation",,每
,360,人 9.9,693,2333,54453,"0,028141%",4,2,11,停,tíng,ting,second,"stop, suspend, delay; suitable",,济
,361,人 9.9,979,1969,32399,"0,016743%",3,2,10,健,jiàn,jian,fourth,"strong, robust, healthy; strength",,车
,362,人 9.9,1204,2334,21877,"0,011306%",6,6,11,偏,piān,pian,first,inclined one side; slanting,,亲
,363,人 9.9,1284,2330,19006,"0,009822%",5,5,11,偷,tōu,tou,first,"to steal, burglar, thief",,极
,364,人 9.9,1329,2327,17919,"0,009260%",5,5,11,偿,cháng,chang,second,"repay, recompense; restitution",,林
,365,人 9.9,1361,2328,17246,"0,008912%",4,5,11,偶,ǒu,ou,third,"accidentally, coincidently; an idol",,服
,366,人 9.9,3656,2329,850,"0,000439%",,,11,偎,wēi,wei,first,"cling to, cuddle, embrace, fondle",,快
,367,人 9.9,3705,4906,794,"0,000410%",,,11,偕,xié,xie,second,together; be in order,,办
,368,人 9.9,3985,4564,587,"0,000303%",,,10,偌,ruò,ruo,fourth,"thus, so, like, such",,议
,369,人 9.9,4171,4905,474,"0,000245%",,,11,偃,yǎn,yan,third,"cease, lay off, lay down",,往
,370,人 9.9,4283,4907,424,"0,000219%",,,11,偈,jì,ji,fourth,brave; martial; hasty; scudding,,元
,371,人 9.9,4573,4910,297,"0,000153%",,,11,偻,lóu,lou,second,humpback; surname,,英
,372,人 9.9,5778,4904,82,"0,000042%",,,11,偾,fèn,fen,fourth,"ruin, cause fail; overthrown",,士
,373,人 9.9,5862,4909,73,"0,000038%",,,11,偬,zǒng,zong,third,urgent,,证
,374,人 9.9,0,7013,,"0,000000%",,,10,倻,yē,ye,first,phonetic used in Korean place names,,近
,375,人 9.9,0,7192,,"0,000000%",,,11,偰,xiè,xie,fourth,contract,,失
,376,人 9.9,0,7193,,"0,000000%",,,11,偡,zhàn,zhan,fourth,,,转
,377,人 9.9,0,7195,,"0,000000%",,,11,偭,miǎn,mian,third,transgress,,夫
,378,人 9.9,0,7196,,"0,000000%",,,11,偲,cāi,cai,first,talented; urgent,,令
,379,人 9.9,0,7197,,"0,000000%",,,11,偁,chēng,cheng,first,state,,准
,380,人 9.9,0,7200,,"0,000000%",,,11,偓,wò,wo,fourth,to fuss,,布
,381,儿 10.0,192,0012,207827,"0,107402%",1,1,2,儿,ér,er,second,"son, child; KangXi radical 10",,始
,382,儿 10.1,2859,3503,2283,"0,001180%",,,3,兀,wù,wu,fourth,to cut off the feet,,怎
,383,儿 10.12,3117,3077,1632,"0,000843%",6,7–9,14,兢,jīng,jing,first,"fearful, cautious, wary",,呢
,384,儿 10.2,370,0080,116488,"0,060199%",3,1,4,元,yuán,yuan,second,first; dollar; origin; head,,存
,385,儿 10.2,1443,0183,15027,"0,007766%",4,6,4,允,yǔn,yun,third,"to grant, to allow, to consent",,未
,386,儿 10.3,1089,0250,26386,"0,013636%",5,4,5,兄,xiōng,xiong,first,elder brother,,远
,387,儿 10.4,188,0446,210628,"0,108849%",1,1,6,先,xiān,xian,first,"first, former, previous",,叫
,388,儿 10.4,290,0417,147639,"0,076298%",4,3,6,光,guāng,guang,first,"light, brilliant, shine; only",,台
,389,儿 10.4,690,0525,54812,"0,028326%",5,3,6,充,chōng,chong,first,"fill, be full, supply",,单
,390,儿 10.4,2246,0489,5204,"0,002689%",6,7–9,6,兆,zhào,zhao,fourth,omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion,,影
,391,儿 10.4,3264,0406,1375,"0,000711%",,,6,尧,yáo,yao,second,a legendary ancient emperor-sage,,具
,392,儿 10.5,262,0675,166044,"0,085809%",4,2,7,克,kè,ke,fourth,gram; overcome; transliteration,,罗
,393,儿 10.5,755,0810,48044,"0,024828%",4,4,7,免,miǎn,mian,third,spare; excuse from; evade,,字
,394,儿 10.5,2424,0850,4101,"0,002119%",5,7–9,7,兑,duì,dui,fourth,cash; exchange,,爱
,395,儿 10.6,2364,1195,4418,"0,002283%",5,5,8,兔,tù,tu,fourth,"rabbit, hare",,击
,396,儿 10.6,4893,4000,203,"0,000105%",,,8,兖,yǎn,yan,third,establish; one of nine empire divisions,,流
,397,儿 10.6,6937,3718,13,"0,000007%",,,7,兕,sì,si,fourth,a female rhinoceros,,备
,398,儿 10.8,411,1885,103165,"0,053314%",6,6,10,党,dǎng,dang,third,"political party, gang, faction",,兵
,399,儿 10.9,2512,2336,3663,"0,001893%",6,7–9,11,兜,dōu,dou,first,pouch,,连
,400,入 11.0,210,0011,192433,"0,099447%",4,2,2,入,rù,ru,fourth,"enter, come in(to), join",,调
,401,入 11.2,175,0116,231331,"0,119548%",4,3,4,内,nèi,nei,fourth,inside,,深
,402,入 11.4,124,0485,305248,"0,157748%",4,2,6,全,quán,quan,second,"maintain, keep whole or intact",,商
,403,八 12.0,451,0009,92700,"0,047906%",1,1,2,八,bā,ba,first,"eight; all around, all sides",,算
,404,八 12.12,2341,3125,4628,"0,002392%",6,7–9,14,舆,yú,yu,second,"cart, palanquin, sedan chair",,质
,405,八 12.14,2550,3340,3487,"0,001802%",,,16,冀,jì,ji,fourth,hope for; wish; Hebei province,,团
,406,八 12.16,7762,8023,4,"0,000002%",,,18,冁,chǎn,chan,third,smile,,集
,407,八 12.2,115,0148,318626,"0,164661%",2,2,4,公,gōng,gong,first,"fair, equitable; public; duke",,百
,408,八 12.2,478,0160,85830,"0,044356%",1,1,4,六,liù,liu,fourth,number six,,需
,409,八 12.2,2772,3518,2597,"0,001342%",,,4,兮,xī,xi,first,exclamatory particle,,价
,410,八 12.3,642,0306,61951,"0,032015%",,7–9,5,兰,lán,lan,second,"orchid; elegant, graceful",,花
,411,八 12.4,127,0532,302473,"0,156314%",1,1,6,关,guān,guan,first,frontier pass; close; relation,,党
,412,八 12.4,330,0371,128824,"0,066574%",2,2,6,共,gòng,gong,fourth,"together with, all, total; to share",,华
,413,八 12.4,531,0544,76760,"0,039668%",1,1,6,兴,xìng,xing,fourth,"thrive, prosper, flourish",,城
,414,八 12.5,398,0768,106982,"0,055287%",5,4,7,兵,bīng,bing,first,"soldier, troops",,石
,415,八 12.6,85,0996,403028,"0,208279%",3,2,8,其,qí,qi,second,"his, her, its, their; that",,级
,416,八 12.6,389,1232,109359,"0,056515%",3,2,8,单,dān,dan,first,"single, individual, only; lone",,整
,417,八 12.6,391,1077,108811,"0,056232%",4,3,8,具,jù,ju,fourth,"tool, implement; draw up, write",,府
,418,八 12.6,1044,1092,28860,"0,014914%",3,2,8,典,diǎn,dian,third,"law, canon; documentation; classic, scripture",,离
,419,八 12.7,228,1654,184470,"0,095331%",3,3,9,总,zǒng,zong,third,"collect; overall, altogether",,况
,420,八 12.7,760,1641,47702,"0,024652%",4,2,9,养,yǎng,yang,third,"raise, rear, bring up; support",,亚
,421,八 12.8,1515,2056,13656,"0,007057%",5,7–9,10,兼,jiān,jian,first,"unite, combine; connect; and",,请
,422,八 12.9,1602,2407,11820,"0,006108%",6,7–9,11,兽,shòu,shou,fourth,"beast, animal; bestial",,技
,423,冂 13.2,2047,0115,6651,"0,003437%",,7–9,4,冈,gāng,gang,first,ridge or crest of hill,,际
,424,冂 13.3,1525,0290,13462,"0,006957%",5,5,5,册,cè,ce,fourth,"book, volume, register, list",,约
,425,冂 13.3,3070,0258,1724,"0,000891%",,,5,冉,rǎn,ran,third,tender; weak; proceed gradually,,示
,426,冂 13.4,242,0382,179607,"0,092818%",1,1,6,再,zài,zai,fourth,"again, twice, re-",,复
,427,冂 13.5,0,6598,,"0,000000%",,,7,冏,jiǒng,jiong,third,"(archaic form of炯) light, bright",,病
,428,冂 13.7,1222,1486,20917,"0,010810%",3,3,9,冒,mào,mao,fourth,"risk, brave, dare",,息
,429,冂 13.8,0,6988,,"0,000000%",,,10,冔,xǔ,xu,third,cap worn during the Yin dynasty,,究
,430,冂 13.9,3456,4825,1078,"0,000557%",,,11,冕,miǎn,mian,third,crown; ceremonial cap,,线
,431,冖 14.10,5384,5311,127,"0,000066%",,,12,幂,mì,mi,fourth,"cover-cloth, cover with cloth",,似
,432,冖 14.2,3642,0172,863,"0,000446%",,7–9,4,冗,rǒng,rong,third,excessive; superfluous,,官
,433,冖 14.3,448,0316,93710,"0,048428%",1,1,5,写,xiě,xie,third,"write; draw, sketch; compose",,火
,434,冖 14.4,465,0558,88412,"0,045690%",5,3,6,农,nóng,nong,second,"agriculture, farming; farmer",,断
,435,冖 14.7,1713,1705,10217,"0,005280%",5,5,9,冠,guān,guan,first,"cap, crown, headgear",,精
,436,冖 14.8,2396,2124,4243,"0,002193%",6,7–9,10,冤,yuān,yuan,first,"grievance, injustice, wrong",,满
,437,冖 14.8,2739,2121,2715,"0,001403%",,,10,冥,míng,ming,second,"dark, gloomy, night; deep",,支
,438,冖 14.8,2840,4669,2357,"0,001218%",,,10,冢,zhǒng,zhong,third,"burial mound, mausoleum; grand",,视
,439,冫 15.1,676,0070,57329,"0,029627%",1,1,3,习,xí,xi,second,practice; flapping wings,,消
,440,冫 15.10,0,7412,,"0,000000%",,,12,凓,lì,li,fourth,shiver; severe cold,,越
,441,冫 15.12,0,7713,,"0,000000%",,,14,凘,sī,si,first,,,器
,442,冫 15.13,3014,3284,1870,"0,000966%",,,15,凛,lǐn,lin,third,to shiver with cold or fear,,容
,443,冫 15.14,1631,3370,11409,"0,005896%",6,7–9,16,凝,níng,ning,second,coagulate; congeal; freeze,,照
,444,冫 15.3,1384,0295,16368,"0,008459%",3,2,5,冬,dōng,dong,first,"winter, 11th lunar month",,须
,445,冫 15.3,0,6514,,"0,000000%",,,5,冮,gāng,gang,first,,,九
